state,year,candidate,party,votes
Tamil Nadu,2014,Karthik Reddy,BJP,281687
Haryana,2024,Sonal Tiwari,SP,265007
Punjab,2019,Rajesh Nair,SP,633611
Tamil Nadu,2024,Karthik Reddy,Independent,390326
Delhi,2019,Meena Chopra,BJP,492467
Rajasthan,2014,Karthik Reddy,SP,657670
Jharkhand,2014,Pallavi Sharma,Independent,517101
Tamil Nadu,2024,Manoj Singh,SP,299980
Tripura,2019,Suresh Patel,SP,170350
Sikkim,2019,Manoj Singh,SP,325934
Tamil Nadu,2024,Suresh Patel,SP,204030
Haryana,2024,Pooja Desai,AITC,51265
Goa,2019,Rajesh Nair,Independent,581945
Telangana,2024,Vinod Joshi,SP,443134
Tripura,2014,Vinod Joshi,BJP,434883
Maharashtra,2024,Kiran Rao,Independent,352601
Rajasthan,2024,Alok Verma,SP,300274
Uttar Pradesh,2019,Manoj Singh,Independent,134849
Manipur,2019,Sonal Tiwari,BJP,121578
Uttarakhand,2024,Sonal Tiwari,Independent,592862
Andhra Pradesh,2024,Ramesh Gowda,Independent,316397
Haryana,2019,Pooja Desai,AITC,250717
Kerala,2019,Prakash Yadav,Independent,270547
Maharashtra,2024,Meena Chopra,SP,56884
Arunachal Pradesh,2019,Prakash Yadav,INC,152125
Tripura,2014,Kiran Rao,AITC,258520
Sikkim,2014,Neha Kulkarni,BJP,360722
Assam,2019,Prakash Yadav,BJP,555972
Tripura,2014,Kiran Rao,AITC,647209
Andhra Pradesh,2014,Kiran Rao,SP,348383
Chhattisgarh,2019,Vinod Joshi,BJP,97998
Jharkhand,2019,Karthik Reddy,SP,337039
Delhi,2014,Pooja Desai,INC,374155
Odisha,2014,Sonal Tiwari,INC,217384
Karnataka,2014,Anita Menon,AITC,604989
Himachal Pradesh,2019,Karthik Reddy,SP,152376
Arunachal Pradesh,2014,Sonal Tiwari,AITC,124924
Goa,2019,Anita Menon,INC,500674
Goa,2014,Vinod Joshi,INC,450370
Maharashtra,2024,Anita Menon,AITC,296265
Odisha,2024,Manoj Singh,AITC,150490
Meghalaya,2019,Simran Kaur,AITC,272567
Odisha,2019,Manoj Singh,INC,453158
Gujarat,2019,Alok Verma,SP,452779
Uttarakhand,2019,Anita Menon,BJP,133182
Mizoram,2019,Meena Chopra,SP,638231
Andhra Pradesh,2024,Amit Sharma,INC,157690
Uttar Pradesh,2014,Sonal Tiwari,SP,122783
Bihar,2014,Rajiv Das,INC,623805
Gujarat,2024,Pallavi Sharma,INC,697257
Tamil Nadu,2014,Rajiv Das,SP,451936
Manipur,2024,Manoj Singh,Independent,654680
Rajasthan,2024,Neha Kulkarni,SP,195786
Meghalaya,2014,Manoj Singh,SP,53641
Madhya Pradesh,2024,Amit Sharma,SP,212620
Himachal Pradesh,2014,Rajesh Nair,BJP,697492
Haryana,2014,Pooja Desai,SP,544251
Mizoram,2014,Suresh Patel,INC,66772
Arunachal Pradesh,2019,Rajesh Nair,Independent,313436
Jharkhand,2019,Vinod Joshi,INC,104155
Assam,2014,Prakash Yadav,AITC,111900
Madhya Pradesh,2024,Karthik Reddy,AITC,554315
Kerala,2024,Pooja Desai,INC,474127
Mizoram,2024,Suresh Patel,INC,657111
Karnataka,2024,Pallavi Sharma,AITC,652773
Mizoram,2024,Suresh Patel,SP,579714
Andhra Pradesh,2024,Suresh Patel,SP,385764
Kerala,2019,Rajiv Das,SP,611524
Mizoram,2014,Pooja Desai,SP,181297
Jharkhand,2024,Ramesh Gowda,INC,655374
Bihar,2024,Neha Kulkarni,INC,670387
Gujarat,2019,Suresh Patel,Independent,338364
Himachal Pradesh,2024,Rajesh Nair,SP,579451
Himachal Pradesh,2019,Deepak Chawla,INC,653498
Andhra Pradesh,2014,Sonal Tiwari,INC,281985
Maharashtra,2024,Anita Menon,AITC,180880
Haryana,2014,Sonal Tiwari,INC,101409
Punjab,2014,Neha Kulkarni,Independent,380512
Kerala,2024,Manoj Singh,AITC,307886
Rajasthan,2024,Karthik Reddy,AITC,381448
Rajasthan,2019,Vikram Gupta,BJP,380366
Odisha,2024,Pallavi Sharma,Independent,537380
Chhattisgarh,2019,Suresh Patel,Independent,298798
Andhra Pradesh,2014,Alok Verma,SP,392001
Rajasthan,2019,Anita Menon,SP,171925
Madhya Pradesh,2014,Vikram Gupta,SP,417163
Madhya Pradesh,2024,Rajiv Das,AITC,371298
Rajasthan,2024,Neha Kulkarni,INC,219434
Odisha,2019,Simran Kaur,AITC,607176
Manipur,2014,Alok Verma,AITC,287918
Madhya Pradesh,2019,Neha Kulkarni,AITC,330508
Haryana,2014,Alok Verma,SP,448443
Tamil Nadu,2019,Neha Kulkarni,INC,460105
Gujarat,2014,Meena Chopra,INC,605736
Uttar Pradesh,2024,Amit Sharma,BJP,133845
Rajasthan,2024,Amit Sharma,INC,572305
Uttarakhand,2024,Vinod Joshi,SP,373829
Meghalaya,2014,Alok Verma,BJP,238734
Bihar,2024,Rajiv Das,Independent,83668
Meghalaya,2014,Manoj Singh,INC,147652
Telangana,2014,Karthik Reddy,SP,534090
West Bengal,2019,Deepak Chawla,AITC,252781
Karnataka,2024,Simran Kaur,Independent,437123
West Bengal,2019,Karthik Reddy,SP,535269
Goa,2019,Vikram Gupta,Independent,514199
Tripura,2019,Vikram Gupta,AITC,401872
Mizoram,2019,Deepak Chawla,INC,399724
Tripura,2024,Vikram Gupta,AITC,137343
Telangana,2014,Pooja Desai,SP,406242
Delhi,2019,Deepak Chawla,BJP,589561
Himachal Pradesh,2024,Vinod Joshi,Independent,224719
West Bengal,2014,Alok Verma,Independent,409057
Uttar Pradesh,2019,Alok Verma,SP,658049
Tripura,2019,Anita Menon,Independent,494009
Uttar Pradesh,2014,Deepak Chawla,BJP,243059
West Bengal,2024,Suresh Patel,SP,497421
Maharashtra,2024,Amit Sharma,BJP,381365
Karnataka,2019,Rajesh Nair,Independent,584501
Mizoram,2014,Rajesh Nair,BJP,403302
Karnataka,2014,Vinod Joshi,SP,471964
Haryana,2024,Vinod Joshi,SP,200343
Delhi,2019,Simran Kaur,BJP,504469
Maharashtra,2014,Rajiv Das,Independent,551040
Maharashtra,2014,Pooja Desai,INC,569196
West Bengal,2024,Anita Menon,Independent,593345
Assam,2024,Vikram Gupta,SP,186051
Madhya Pradesh,2019,Anita Menon,SP,678282
Meghalaya,2024,Sonal Tiwari,AITC,303855
Delhi,2019,Prakash Yadav,INC,258545
Rajasthan,2014,Vikram Gupta,INC,456294
Tamil Nadu,2024,Pooja Desai,Independent,311711
Tripura,2019,Pooja Desai,INC,248470
West Bengal,2019,Ramesh Gowda,Independent,64338
Bihar,2024,Suresh Patel,BJP,298279
Chhattisgarh,2019,Pooja Desai,BJP,69675
Manipur,2019,Sonal Tiwari,Independent,324821
Karnataka,2014,Meena Chopra,Independent,567092
Madhya Pradesh,2019,Simran Kaur,SP,493162
Rajasthan,2019,Pooja Desai,BJP,152606
Gujarat,2024,Suresh Patel,AITC,634681
Madhya Pradesh,2014,Vinod Joshi,INC,275484
Himachal Pradesh,2019,Ramesh Gowda,AITC,555823
Maharashtra,2014,Prakash Yadav,SP,574940
Chhattisgarh,2019,Ramesh Gowda,AITC,687576
Haryana,2014,Ramesh Gowda,SP,338322
Chhattisgarh,2014,Alok Verma,SP,208427
Jharkhand,2024,Suresh Patel,BJP,53160
Delhi,2019,Rajesh Nair,AITC,426614
Andhra Pradesh,2024,Kiran Rao,AITC,540266
Haryana,2024,Vikram Gupta,Independent,421467
Himachal Pradesh,2019,Meena Chopra,AITC,634493
Madhya Pradesh,2014,Simran Kaur,AITC,383067
Jharkhand,2024,Karthik Reddy,Independent,485373
Arunachal Pradesh,2019,Alok Verma,Independent,472708
Telangana,2024,Karthik Reddy,AITC,400249
Rajasthan,2014,Karthik Reddy,BJP,478910
Assam,2019,Vinod Joshi,Independent,320653
Mizoram,2019,Deepak Chawla,INC,627311
West Bengal,2019,Meena Chopra,Independent,454392
Arunachal Pradesh,2019,Vinod Joshi,SP,129523
Mizoram,2019,Manoj Singh,INC,253545
Goa,2024,Vinod Joshi,Independent,471002
Andhra Pradesh,2024,Meena Chopra,SP,400381
Rajasthan,2024,Karthik Reddy,INC,141930
Mizoram,2024,Rajiv Das,Independent,491564
Arunachal Pradesh,2014,Ramesh Gowda,SP,131742
Gujarat,2024,Manoj Singh,BJP,597466
Himachal Pradesh,2024,Sonal Tiwari,INC,489078
Himachal Pradesh,2024,Ramesh Gowda,SP,663106
Madhya Pradesh,2019,Ramesh Gowda,SP,545160
Maharashtra,2019,Prakash Yadav,BJP,466550
Andhra Pradesh,2024,Amit Sharma,BJP,66625
Tripura,2024,Rajiv Das,AITC,587632
Delhi,2014,Rajesh Nair,AITC,560273
Rajasthan,2019,Simran Kaur,INC,364227
Nagaland,2024,Amit Sharma,AITC,573690
Nagaland,2014,Amit Sharma,Independent,665489
Gujarat,2024,Pallavi Sharma,INC,597386
Meghalaya,2024,Vikram Gupta,INC,85081
Uttarakhand,2014,Anita Menon,BJP,93699
Himachal Pradesh,2024,Neha Kulkarni,INC,468892
Madhya Pradesh,2019,Rajesh Nair,BJP,681894
Tripura,2024,Anita Menon,BJP,541814
Delhi,2014,Vikram Gupta,SP,630286
Uttarakhand,2019,Deepak Chawla,BJP,617796
Bihar,2019,Ramesh Gowda,AITC,60782
Kerala,2014,Rajiv Das,BJP,192480
West Bengal,2024,Sonal Tiwari,INC,670837
Uttarakhand,2014,Kiran Rao,Independent,501209
Manipur,2024,Rajesh Nair,AITC,639542
Andhra Pradesh,2024,Rajiv Das,INC,175017
Delhi,2014,Amit Sharma,SP,52529
Telangana,2014,Simran Kaur,SP,354265
Gujarat,2024,Pooja Desai,SP,332869
Tamil Nadu,2024,Alok Verma,AITC,307845
Delhi,2014,Pooja Desai,SP,615627
Assam,2014,Ramesh Gowda,AITC,368364
Uttarakhand,2019,Vikram Gupta,Independent,414162
Goa,2019,Vikram Gupta,BJP,574475
Tripura,2014,Rajiv Das,AITC,327101
Rajasthan,2014,Neha Kulkarni,AITC,180387
Haryana,2019,Meena Chopra,AITC,89984
Uttar Pradesh,2024,Suresh Patel,INC,573327
Himachal Pradesh,2024,Alok Verma,Independent,584874
Nagaland,2024,Deepak Chawla,Independent,407787
Jharkhand,2014,Karthik Reddy,Independent,96481
Karnataka,2014,Prakash Yadav,SP,412824
Mizoram,2024,Simran Kaur,SP,600686
Assam,2014,Karthik Reddy,INC,424728
Odisha,2019,Kiran Rao,SP,448807
Uttarakhand,2019,Kiran Rao,BJP,554380
Bihar,2024,Anita Menon,Independent,170682
West Bengal,2024,Karthik Reddy,Independent,675888
Meghalaya,2019,Alok Verma,Independent,321898
Bihar,2019,Rajiv Das,AITC,495937
Tripura,2024,Anita Menon,SP,116242
Delhi,2014,Anita Menon,BJP,111324
Andhra Pradesh,2024,Karthik Reddy,AITC,162718
Haryana,2014,Meena Chopra,AITC,465174
Odisha,2024,Prakash Yadav,BJP,508724
Andhra Pradesh,2014,Deepak Chawla,SP,260578
West Bengal,2024,Alok Verma,BJP,55645
Tripura,2019,Ramesh Gowda,Independent,265607
Madhya Pradesh,2014,Rajesh Nair,BJP,199035
Andhra Pradesh,2014,Pallavi Sharma,SP,529648
Mizoram,2024,Anita Menon,BJP,669301
Rajasthan,2014,Rajesh Nair,BJP,89809
Madhya Pradesh,2019,Deepak Chawla,BJP,557390
Chhattisgarh,2014,Karthik Reddy,BJP,323864
Arunachal Pradesh,2024,Kiran Rao,INC,296493
Maharashtra,2014,Suresh Patel,SP,127710
Meghalaya,2014,Pooja Desai,Independent,358394
Mizoram,2019,Pooja Desai,Independent,452814
Punjab,2014,Prakash Yadav,SP,150514
Arunachal Pradesh,2019,Manoj Singh,SP,578806
Nagaland,2019,Neha Kulkarni,BJP,118343
West Bengal,2024,Rajesh Nair,BJP,456512
Tamil Nadu,2024,Anita Menon,AITC,90348
West Bengal,2014,Simran Kaur,INC,441842
Karnataka,2019,Karthik Reddy,BJP,318780
Jharkhand,2014,Suresh Patel,AITC,484482
Bihar,2024,Neha Kulkarni,BJP,148043
Kerala,2024,Rajesh Nair,AITC,344807
Manipur,2019,Manoj Singh,AITC,601535
Assam,2024,Meena Chopra,INC,200347
Meghalaya,2014,Pallavi Sharma,AITC,363613
Sikkim,2019,Pooja Desai,INC,669205
Bihar,2014,Manoj Singh,Independent,541556
Uttarakhand,2014,Amit Sharma,SP,538851
Maharashtra,2019,Alok Verma,Independent,189146
Telangana,2014,Deepak Chawla,BJP,182056
Uttar Pradesh,2024,Suresh Patel,INC,675715
Goa,2014,Rajiv Das,SP,169188
Himachal Pradesh,2024,Manoj Singh,Independent,379063
Madhya Pradesh,2019,Vinod Joshi,AITC,486702
Manipur,2014,Rajiv Das,BJP,393269
Rajasthan,2014,Anita Menon,BJP,361588
Madhya Pradesh,2024,Rajiv Das,INC,588108
Arunachal Pradesh,2024,Deepak Chawla,Independent,90476
Uttar Pradesh,2014,Prakash Yadav,Independent,666589
Arunachal Pradesh,2024,Amit Sharma,INC,374841
Nagaland,2014,Pooja Desai,Independent,586833
Kerala,2024,Sonal Tiwari,Independent,159057
Kerala,2019,Rajiv Das,AITC,392294
Maharashtra,2019,Simran Kaur,INC,160909
Goa,2019,Prakash Yadav,INC,109215
Haryana,2024,Ramesh Gowda,BJP,666827
Tamil Nadu,2024,Meena Chopra,SP,575968
West Bengal,2019,Meena Chopra,Independent,643998
Maharashtra,2014,Prakash Yadav,SP,578947
Tripura,2014,Vinod Joshi,Independent,490816
Telangana,2014,Pooja Desai,INC,289677
Odisha,2019,Anita Menon,BJP,95558
Uttarakhand,2014,Meena Chopra,AITC,496212
Tamil Nadu,2024,Sonal Tiwari,AITC,509413
Telangana,2024,Suresh Patel,AITC,696225
Maharashtra,2014,Karthik Reddy,Independent,424075
Haryana,2024,Meena Chopra,Independent,81441
Kerala,2024,Manoj Singh,INC,642677
Haryana,2019,Prakash Yadav,SP,562207
Kerala,2019,Amit Sharma,SP,374653
Tamil Nadu,2014,Kiran Rao,BJP,406483
Himachal Pradesh,2019,Pallavi Sharma,BJP,414792
Rajasthan,2019,Anita Menon,BJP,307476
Karnataka,2024,Manoj Singh,SP,329233
West Bengal,2014,Sonal Tiwari,AITC,175770
Himachal Pradesh,2024,Pooja Desai,AITC,662998
Odisha,2024,Rajiv Das,Independent,650689
Maharashtra,2014,Kiran Rao,BJP,211490
Maharashtra,2024,Amit Sharma,BJP,314223
Manipur,2024,Pooja Desai,SP,303078
Gujarat,2024,Amit Sharma,BJP,292076
Tamil Nadu,2019,Sonal Tiwari,Independent,339219
Haryana,2014,Anita Menon,SP,540439
Gujarat,2014,Rajesh Nair,Independent,157665
Sikkim,2014,Kiran Rao,Independent,326941
Odisha,2014,Suresh Patel,AITC,518858
Bihar,2019,Meena Chopra,AITC,66605
West Bengal,2014,Manoj Singh,AITC,551916
Rajasthan,2019,Rajesh Nair,AITC,263340
Arunachal Pradesh,2024,Simran Kaur,Independent,259217
Gujarat,2014,Prakash Yadav,AITC,170167
West Bengal,2019,Rajesh Nair,Independent,67424
Tamil Nadu,2014,Anita Menon,INC,652730
West Bengal,2024,Vinod Joshi,BJP,600835
Assam,2024,Alok Verma,INC,134685
West Bengal,2014,Deepak Chawla,AITC,197534
Delhi,2019,Ramesh Gowda,BJP,64183
Rajasthan,2014,Sonal Tiwari,AITC,665832
Uttar Pradesh,2024,Rajiv Das,SP,311668
Maharashtra,2014,Deepak Chawla,AITC,353061
Tamil Nadu,2024,Karthik Reddy,Independent,271049
Telangana,2024,Kiran Rao,INC,562443
Kerala,2014,Meena Chopra,AITC,229367
Goa,2024,Prakash Yadav,SP,407964
Assam,2019,Prakash Yadav,INC,353629
Himachal Pradesh,2019,Amit Sharma,INC,565869
Tripura,2014,Ramesh Gowda,SP,518148
Jharkhand,2019,Sonal Tiwari,Independent,610977
West Bengal,2014,Neha Kulkarni,Independent,458259
Bihar,2024,Neha Kulkarni,INC,513612
Madhya Pradesh,2014,Rajesh Nair,INC,498687
Mizoram,2024,Rajesh Nair,AITC,189557
Uttarakhand,2014,Anita Menon,SP,410608
Kerala,2024,Pooja Desai,BJP,654310
Sikkim,2024,Pallavi Sharma,SP,517400
Andhra Pradesh,2014,Alok Verma,INC,189686
Madhya Pradesh,2014,Pallavi Sharma,INC,171055
Nagaland,2024,Pooja Desai,SP,385344
Karnataka,2019,Prakash Yadav,BJP,182387
Tripura,2019,Pooja Desai,Independent,69111
Manipur,2019,Suresh Patel,INC,642586
Meghalaya,2024,Ramesh Gowda,BJP,217112
Himachal Pradesh,2014,Amit Sharma,INC,557487
West Bengal,2014,Vinod Joshi,INC,639148
Goa,2014,Suresh Patel,Independent,652246
Telangana,2024,Suresh Patel,AITC,668107
Nagaland,2024,Vinod Joshi,SP,198861
Odisha,2014,Meena Chopra,SP,373002
Nagaland,2014,Prakash Yadav,Independent,353388
Uttar Pradesh,2014,Karthik Reddy,INC,320298
Odisha,2019,Simran Kaur,SP,84407
Karnataka,2014,Simran Kaur,BJP,214059
Uttar Pradesh,2014,Prakash Yadav,BJP,81949
Rajasthan,2024,Amit Sharma,BJP,629066
Tamil Nadu,2014,Pooja Desai,BJP,402115
Tripura,2014,Vikram Gupta,Independent,431314
Uttarakhand,2019,Karthik Reddy,AITC,519149
Maharashtra,2019,Ramesh Gowda,Independent,160236
Chhattisgarh,2024,Anita Menon,AITC,359471
Arunachal Pradesh,2019,Prakash Yadav,Independent,415275
Himachal Pradesh,2024,Neha Kulkarni,SP,492817
Mizoram,2024,Karthik Reddy,AITC,692057
Manipur,2019,Deepak Chawla,AITC,634035
Haryana,2014,Vinod Joshi,BJP,154581
Kerala,2019,Simran Kaur,Independent,362238
Telangana,2014,Kiran Rao,Independent,333595
Punjab,2024,Vikram Gupta,SP,635827
Rajasthan,2014,Karthik Reddy,INC,526540
Uttar Pradesh,2024,Simran Kaur,Independent,597600
Telangana,2014,Neha Kulkarni,AITC,216807
Sikkim,2014,Ramesh Gowda,Independent,488447
Jharkhand,2019,Prakash Yadav,AITC,221312
Jharkhand,2019,Rajesh Nair,BJP,114219
Odisha,2014,Sonal Tiwari,SP,370970
Chhattisgarh,2024,Pallavi Sharma,SP,107280
Manipur,2014,Rajiv Das,AITC,138386
Goa,2024,Rajiv Das,AITC,614077
Uttar Pradesh,2014,Pallavi Sharma,AITC,519737
Andhra Pradesh,2024,Rajiv Das,INC,216698
Uttar Pradesh,2014,Kiran Rao,AITC,227771
Madhya Pradesh,2019,Vinod Joshi,SP,409723
Maharashtra,2024,Amit Sharma,Independent,609471
Sikkim,2024,Simran Kaur,AITC,679189
Nagaland,2019,Vikram Gupta,AITC,551776
Andhra Pradesh,2014,Pooja Desai,INC,283308
Himachal Pradesh,2024,Deepak Chawla,SP,403413
Manipur,2014,Alok Verma,AITC,445465
West Bengal,2014,Amit Sharma,INC,133287
Uttarakhand,2024,Vikram Gupta,SP,153290
Telangana,2019,Rajiv Das,Independent,150867
Assam,2024,Sonal Tiwari,SP,248358
Tripura,2014,Anita Menon,SP,405237
Kerala,2024,Karthik Reddy,AITC,630549
Telangana,2014,Sonal Tiwari,AITC,252376
Jharkhand,2019,Karthik Reddy,Independent,454521
Tamil Nadu,2014,Deepak Chawla,BJP,639597
Chhattisgarh,2024,Rajiv Das,INC,418081
Chhattisgarh,2024,Kiran Rao,AITC,463788
Mizoram,2019,Rajiv Das,AITC,124024
Chhattisgarh,2019,Kiran Rao,Independent,115568
Tamil Nadu,2019,Manoj Singh,Independent,694517
Chhattisgarh,2014,Alok Verma,AITC,481198
Nagaland,2014,Ramesh Gowda,AITC,196566
Kerala,2019,Alok Verma,SP,535030
Tripura,2014,Prakash Yadav,SP,426639
Odisha,2014,Manoj Singh,Independent,367875
Maharashtra,2014,Deepak Chawla,BJP,674400
Manipur,2014,Manoj Singh,SP,136988
Mizoram,2024,Rajiv Das,INC,332508
Andhra Pradesh,2019,Prakash Yadav,Independent,685180
Kerala,2019,Deepak Chawla,Independent,244179
Jharkhand,2014,Alok Verma,AITC,72213
Odisha,2024,Amit Sharma,BJP,627730
Kerala,2014,Kiran Rao,BJP,544611
Punjab,2014,Simran Kaur,BJP,513928
Telangana,2024,Meena Chopra,INC,660371
West Bengal,2014,Pooja Desai,BJP,431995
Uttar Pradesh,2024,Prakash Yadav,INC,506277
Nagaland,2019,Sonal Tiwari,INC,79960
Chhattisgarh,2019,Sonal Tiwari,AITC,420722
Madhya Pradesh,2019,Pallavi Sharma,SP,526639
Bihar,2014,Meena Chopra,Independent,424386
Punjab,2024,Amit Sharma,INC,166306
Odisha,2024,Amit Sharma,SP,262026
West Bengal,2019,Alok Verma,Independent,225416
Telangana,2014,Vinod Joshi,BJP,272341
Mizoram,2019,Manoj Singh,Independent,200934
Rajasthan,2014,Meena Chopra,AITC,63518
Mizoram,2014,Manoj Singh,SP,166099
Nagaland,2019,Kiran Rao,SP,585310
Telangana,2014,Pallavi Sharma,AITC,257136
Haryana,2014,Meena Chopra,BJP,194910
Assam,2014,Suresh Patel,AITC,527105
Kerala,2014,Vikram Gupta,Independent,543893
Telangana,2014,Suresh Patel,INC,478781
Haryana,2014,Deepak Chawla,BJP,482952
Nagaland,2014,Pooja Desai,SP,94296
Rajasthan,2019,Simran Kaur,INC,420839
Jharkhand,2024,Ramesh Gowda,Independent,627364
Manipur,2014,Neha Kulkarni,AITC,398517
Gujarat,2014,Alok Verma,SP,676853
Meghalaya,2024,Neha Kulkarni,INC,91045
Chhattisgarh,2014,Rajiv Das,INC,459434
Tripura,2024,Alok Verma,SP,383794
Goa,2014,Ramesh Gowda,BJP,540594
Madhya Pradesh,2024,Alok Verma,INC,178727
Mizoram,2014,Pallavi Sharma,Independent,446777
Tripura,2024,Neha Kulkarni,INC,628713
Jharkhand,2024,Rajiv Das,SP,168247
Uttar Pradesh,2014,Pallavi Sharma,AITC,649892
Nagaland,2014,Pooja Desai,SP,162711
Bihar,2019,Neha Kulkarni,BJP,369583
Kerala,2019,Deepak Chawla,BJP,469825
Maharashtra,2024,Alok Verma,INC,574328
Telangana,2014,Pallavi Sharma,INC,93928
West Bengal,2019,Anita Menon,Independent,273287
Tripura,2024,Vikram Gupta,BJP,427140
Madhya Pradesh,2024,Vinod Joshi,Independent,499314
Kerala,2014,Kiran Rao,AITC,599816
Arunachal Pradesh,2014,Vikram Gupta,Independent,321154
Manipur,2014,Meena Chopra,AITC,241727
Jharkhand,2019,Pooja Desai,BJP,57468
Arunachal Pradesh,2024,Sonal Tiwari,BJP,287981
Meghalaya,2024,Sonal Tiwari,SP,401227
West Bengal,2014,Sonal Tiwari,BJP,341587
Mizoram,2024,Suresh Patel,BJP,517216
Bihar,2014,Sonal Tiwari,INC,371453
Mizoram,2014,Simran Kaur,Independent,566449
Odisha,2019,Rajiv Das,Independent,533350
Tamil Nadu,2014,Vinod Joshi,INC,563871
Sikkim,2019,Simran Kaur,INC,510171
Telangana,2019,Suresh Patel,SP,301890
Madhya Pradesh,2024,Simran Kaur,AITC,522568
Bihar,2019,Karthik Reddy,BJP,54359
West Bengal,2019,Anita Menon,AITC,451845
Gujarat,2019,Pooja Desai,AITC,58993
Punjab,2019,Manoj Singh,SP,580075
Meghalaya,2019,Neha Kulkarni,AITC,474255
Tamil Nadu,2024,Pooja Desai,AITC,519515
Madhya Pradesh,2024,Ramesh Gowda,SP,297685
Sikkim,2024,Vikram Gupta,INC,347343
Punjab,2024,Meena Chopra,BJP,187024
Haryana,2024,Vikram Gupta,SP,530674
Andhra Pradesh,2024,Meena Chopra,SP,82559
Goa,2024,Alok Verma,BJP,228696
Mizoram,2019,Rajiv Das,INC,237576
Odisha,2019,Vinod Joshi,INC,250383
Karnataka,2024,Rajiv Das,Independent,490575
Manipur,2014,Amit Sharma,Independent,387029
Assam,2024,Deepak Chawla,SP,276981
Maharashtra,2014,Sonal Tiwari,AITC,320961
Rajasthan,2024,Pallavi Sharma,AITC,127667
Mizoram,2014,Prakash Yadav,INC,301438
Manipur,2014,Prakash Yadav,SP,150655
Tamil Nadu,2019,Ramesh Gowda,INC,498286
Uttar Pradesh,2014,Simran Kaur,AITC,58684
Nagaland,2014,Prakash Yadav,SP,525474
West Bengal,2024,Ramesh Gowda,AITC,64412
Assam,2024,Amit Sharma,INC,313133
Punjab,2024,Vinod Joshi,AITC,669299
Goa,2014,Kiran Rao,AITC,159182
Nagaland,2014,Alok Verma,BJP,288168
Arunachal Pradesh,2019,Deepak Chawla,SP,643215
Chhattisgarh,2019,Vikram Gupta,Independent,584635
Kerala,2014,Ramesh Gowda,AITC,408232
Goa,2019,Vinod Joshi,Independent,481482
Odisha,2019,Rajiv Das,BJP,307135
Assam,2024,Neha Kulkarni,INC,600723
Sikkim,2024,Ramesh Gowda,AITC,69572
Haryana,2014,Kiran Rao,BJP,483845
Sikkim,2024,Ramesh Gowda,AITC,187622
Goa,2019,Rajesh Nair,BJP,603845
Sikkim,2024,Pooja Desai,Independent,262479
Odisha,2014,Prakash Yadav,Independent,505149
West Bengal,2024,Karthik Reddy,INC,402388
Manipur,2014,Rajesh Nair,BJP,641391
Sikkim,2019,Manoj Singh,SP,269336
Meghalaya,2014,Pooja Desai,INC,246078
West Bengal,2019,Anita Menon,AITC,251253
Arunachal Pradesh,2019,Rajesh Nair,SP,111364
Sikkim,2014,Prakash Yadav,INC,467072
Bihar,2019,Meena Chopra,INC,370264
Mizoram,2019,Sonal Tiwari,SP,233444
Maharashtra,2019,Ramesh Gowda,Independent,107574
Gujarat,2019,Ramesh Gowda,AITC,183491
Nagaland,2019,Rajesh Nair,INC,656833
Madhya Pradesh,2024,Pooja Desai,AITC,52606
Rajasthan,2019,Kiran Rao,BJP,685571
Nagaland,2014,Karthik Reddy,BJP,386943
Mizoram,2024,Alok Verma,Independent,328418
Uttarakhand,2024,Pooja Desai,AITC,199137
Karnataka,2024,Meena Chopra,Independent,557032
Meghalaya,2014,Rajesh Nair,AITC,203924
Punjab,2014,Deepak Chawla,Independent,631994
Delhi,2019,Rajesh Nair,BJP,560895
Uttarakhand,2024,Suresh Patel,Independent,695714
Bihar,2019,Alok Verma,Independent,157739
Madhya Pradesh,2019,Manoj Singh,SP,237913
Nagaland,2014,Amit Sharma,INC,522793
Chhattisgarh,2014,Suresh Patel,Independent,89658
Meghalaya,2014,Anita Menon,Independent,698312
Sikkim,2024,Manoj Singh,BJP,227824
Kerala,2014,Pooja Desai,Independent,369830
Uttar Pradesh,2019,Rajesh Nair,SP,519214
West Bengal,2024,Alok Verma,SP,270173
Rajasthan,2019,Rajesh Nair,BJP,148737
Arunachal Pradesh,2024,Pooja Desai,SP,678460
Arunachal Pradesh,2014,Neha Kulkarni,SP,229666
Arunachal Pradesh,2019,Neha Kulkarni,SP,356954
Assam,2014,Amit Sharma,INC,566548
Uttarakhand,2014,Vikram Gupta,INC,115363
West Bengal,2014,Simran Kaur,BJP,332173
Goa,2014,Anita Menon,AITC,85406
Delhi,2019,Karthik Reddy,SP,686452
Gujarat,2019,Meena Chopra,Independent,620519
Tamil Nadu,2019,Alok Verma,Independent,214402
Sikkim,2024,Rajesh Nair,INC,217370
Uttarakhand,2024,Pallavi Sharma,AITC,371324
Chhattisgarh,2024,Manoj Singh,BJP,161556
Manipur,2014,Simran Kaur,INC,141894
Andhra Pradesh,2014,Vikram Gupta,BJP,419078
Tamil Nadu,2014,Anita Menon,SP,677484
Punjab,2014,Vinod Joshi,Independent,80817
Nagaland,2019,Vikram Gupta,SP,662766
Goa,2014,Karthik Reddy,SP,250797
Maharashtra,2014,Prakash Yadav,Independent,135115
Maharashtra,2019,Sonal Tiwari,SP,102240
Haryana,2014,Suresh Patel,INC,555656
Delhi,2024,Prakash Yadav,INC,51568
Rajasthan,2014,Vinod Joshi,BJP,210036
